number,survey,category_1,category_2
85,Evaluasi Keberlanjutan Hukum dalam Menghadapi Perubahan Sosial dan Teknologi: Tinjauan terhadap Kesiapan Sistem Hukum dalam Menghadapi Tantangan Kontemporer,Hukum,Hukum
86,Peran Pendidikan Kesehatan dalam Pencegahan Penyakit dan Promosi Kesehatan di Lingkungan Pendidikan: Tinjauan terhadap Kurikulum dan Program yang Dilakukan,Pendidikan,Kesehatan
87,Dampak Sosial dan Hukum terhadap Penanganan Kasus Pelanggaran Hak Asasi Manusia dalam Masyarakat,Sosial dan Kemanusiaan,Hukum
88,Tantangan Hukum dalam Mengatasi Kejahatan dan Pelanggaran yang Terkait dengan Teknologi Informasi dan Komunikasi,Teknologi Informasi dan Komunikasi,Hukum
89,Kontribusi Teknologi Informasi dan Komunikasi dalam Membangun Solidaritas Sosial dan Memperkuat Hubungan Antarmanusia,Teknologi Informasi dan Komunikasi,Sosial dan Kemanusiaan
90,Persepsi dan Pengalaman Wisatawan terkait Teknologi Informasi dan Komunikasi di Destinasi Pariwisata,Pariwisata,Teknologi Informasi dan Komunikasi
91,Analisis Perbandingan Antara Sistem Hukum Common Law dan Civil Law dalam Perspektif Pembangunan Demokrasi dan Kebijakan Publik,Hukum,Politik dan Pemerintahan
92,Analisis Dampak Faktor Ekonomi dan Keuangan terhadap Masalah Sosial dan Kemanusiaan dalam Masyarakat,Keuangan,Sosial dan Kemanusiaan
93,Peran Seni dan Budaya dalam Meningkatkan Inovasi dan Kreativitas di Industri,Seni dan Budaya,Bisnis dan Industri
94,Pengaruh Pendidikan Pertanian dan Perikanan terhadap Kesadaran Lingkungan dan Keberlanjutan: Studi Kasus pada Program Pendidikan Pertanian Berkelanjutan,Pendidikan,Pertanian dan Perikanan
95,Analisis Faktor Ekonomi yang Mempengaruhi Keterlibatan dan Investasi Keuangan dalam Olahraga dan Rekreasi,Keuangan,Olahraga dan Rekreasi
96,Persepsi dan Sikap Masyarakat terhadap Dampak Keuangan Industri Pariwisata terhadap Kesejahteraan Masyarakat Lokal,Keuangan,Pariwisata
97,"Persepsi Siswa tentang Manfaat Keterampilan Seni dalam Pendidikan: Tinjauan terhadap Pengaruh Pendidikan Seni terhadap Kemandirian, Kolaborasi, dan Kreativitas",Pendidikan,Seni dan Budaya
98,Persepsi Masyarakat tentang Peran Teknologi Informasi dan Komunikasi dalam Transformasi Industri Keuangan,Teknologi Informasi dan Komunikasi,Keuangan
99,Persepsi dan Preferensi Masyarakat terhadap Layanan Keuangan dalam Konteks Transportasi dan Logistik,Keuangan,Transportasi dan Logistik
100,Efektivitas Pendekatan Pendidikan dalam Mengajarkan Nilai-Nilai Konservasi dan Keberlanjutan kepada Generasi Muda,Lingkungan dan Konservasi,Pendidikan
101,Persepsi Masyarakat Terhadap Keberagaman Agama dalam Kegiatan Rekreasi,Agama dan Kepercayaan,Olahraga dan Rekreasi
102,Kesadaran Masyarakat tentang Isu Lingkungan dan Konservasi di Daerah Tempat Tinggal Mereka,Sosial dan Kemanusiaan,Lingkungan dan Konservasi
103,Dampak Olahraga dalam Meningkatkan Kesejahteraan Sosial dan Kemanusiaan di Komunitas,Sosial dan Kemanusiaan,Olahraga dan Rekreasi
104,Penilaian Terhadap Peran Agama dalam Pariwisata Halal,Agama dan Kepercayaan,Pariwisata
105,Tinjauan terhadap Preferensi Pengeluaran Wisatawan dan Dampaknya terhadap Ekonomi Lokal,Keuangan,Pariwisata
106,Persepsi dan Sikap Masyarakat terhadap Etika dan Tanggung Jawab Hukum dalam Konservasi Lingkungan: Tinjauan terhadap Kesadaran Hukum dan Perilaku yang Bertanggung Jawab dalam Upaya Pelestarian Lingkungan,Hukum,Lingkungan dan Konservasi
107,Penilaian Terhadap Peran Agama dalam Etika Pangan dan Kehidupan Berkelanjutan,Agama dan Kepercayaan,Pertanian dan Perikanan
108,Penilaian Terhadap Peran Pemerintah dalam Mengatasi Tantangan Kesehatan Masyarakat,Politik dan Pemerintahan,Kesehatan
109,Pengaruh Seni dan Budaya terhadap Kesejahteraan Mental: Studi Kasus pada Peserta Program Seni,Kesehatan,Seni dan Budaya
110,Pendidikan dan Pengembangan Kesadaran Agama dan Kepercayaan dalam Konteks Pariwisata,Pariwisata,Agama dan Kepercayaan
111,Persepsi Stakeholder tentang Masa Depan dan Inovasi dalam Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Pertanian dan Perikanan
112,Kontribusi Partai Politik dalam Mendorong Konservasi Lingkungan dan Keberlanjutan,Lingkungan dan Konservasi,Politik dan Pemerintahan
113,Persepsi Masyarakat Terhadap Penggunaan Media Sosial dalam Konteks Agama,Agama dan Kepercayaan,Teknologi Informasi dan Komunikasi
114,Studi Tentang Praktik Lobbying dan Pengaruh Industri dalam Proses Legislasi,Bisnis dan Industri,Politik dan Pemerintahan
115,Persepsi Masyarakat tentang Pentingnya Konservasi Alam dalam Upaya Menjaga Keseimbangan Ekosistem,Sosial dan Kemanusiaan,Lingkungan dan Konservasi
116,Persepsi Masyarakat terhadap Keberlanjutan dan Keberagaman dalam Dunia Bisnis,Bisnis dan Industri,Sosial dan Kemanusiaan
117,Kebijakan Keuangan untuk Pengembangan Seni dan Budaya,Seni dan Budaya,Keuangan
118,Analisis Dampak Pariwisata terhadap Peningkatan Akses dan Kualitas Pendidikan di Komunitas Lokal,Pariwisata,Pendidikan
119,Dampak Spiritualitas dan Kepercayaan pada Kesehatan dan Kesembuhan Pasien: Perspektif dan Pengalaman Pasien,Kesehatan,Agama dan Kepercayaan
120,Evaluasi Efisiensi dan Keandalan Jalur Transportasi untuk Pertanian dan Perikanan,Pertanian dan Perikanan,Transportasi dan Logistik
121,Penilaian Efektivitas Sistem Keuangan dalam Menjamin Keberlanjutan Sektor Seni dan Budaya,Keuangan,Seni dan Budaya
122,Persepsi Masyarakat Tentang Lembaga Keuangan Berbasis Agama,Agama dan Kepercayaan,Keuangan
123,Studi Tentang Tantangan dan Inovasi dalam Pengambilan Keputusan Politik dan Penyusunan Kebijakan Publik,Politik dan Pemerintahan,Politik dan Pemerintahan
124,Persepsi Masyarakat terhadap Tanggung Jawab Sosial dan Etika Bisnis dalam Industri Keuangan,Bisnis dan Industri,Keuangan
125,Dampak Teknologi Informasi dan Komunikasi terhadap Partisipasi dan Pengalaman Budaya dalam Era Digital,Teknologi Informasi dan Komunikasi,Seni dan Budaya
126,Peran Seni dan Budaya dalam Membentuk Identitas Politik dan Pemerintahan Daerah,Seni dan Budaya,Politik dan Pemerintahan
127,Studi Kelayakan Penyusunan Peraturan Perundang-undangan dalam Mendorong Inovasi dan Pengembangan Teknologi dalam Pertanian dan Perikanan,Hukum,Pertanian dan Perikanan
128,Dampak Olahraga dan Rekreasi terhadap Kesejahteraan Petani dan Nelayan,Olahraga dan Rekreasi,Pertanian dan Perikanan
129,Persepsi dan Preferensi Masyarakat terhadap Penggunaan Aplikasi dan Platform Teknologi dalam Mendukung Kreativitas dan Aktivitas Olahraga,Teknologi Informasi dan Komunikasi,Olahraga dan Rekreasi
130,Evaluasi Persepsi Siswa tentang Hubungan antara Hukum dan Pendidikan: Tinjauan terhadap Relevansi dan Efektivitas Pembelajaran Hukum dalam Membentuk Kesadaran Hukum Siswa,Hukum,Pendidikan
131,Pengetahuan dan Kesadaran Masyarakat tentang Hak dan Kewajiban Hukum: Tinjauan terhadap Tingkat Pengetahuan dan Pemahaman Hukum di Kalangan Masyarakat,Hukum,Hukum
132,Persepsi dan Sikap Masyarakat terhadap Kebijakan Hukum dalam Regulasi Keagamaan: Tinjauan terhadap Isu-isu Hukum yang Muncul dalam Praktik Keagamaan dan Pengaturan Hukum yang Relevan,Hukum,Agama dan Kepercayaan
133,Analisis Dampak Kepatuhan Hukum dalam Pengembangan dan Pertumbuhan Bisnis,Bisnis dan Industri,Hukum
134,berkeruyuk konsekutif memberangsang kraniotomi prekositas mekanisasi terjerahak,Sosial dan Kemanusiaan,Keuangan
135,Tingkat Kepuasan dan Pengalaman dalam Berpartisipasi dalam Olahraga dan Rekreasi,Olahraga dan Rekreasi,Olahraga dan Rekreasi
136,Studi Tentang Tantangan Keamanan dan Privasi dalam Penerapan Teknologi Bisnis,Bisnis dan Industri,Teknologi Informasi dan Komunikasi
137,Kontribusi Bisnis dan Industri dalam Pengembangan Infrastruktur Olahraga dan Rekreasi,Olahraga dan Rekreasi,Bisnis dan Industri
138,Studi Tentang Persepsi Masyarakat terhadap Etika Bisnis dalam Konteks Hukum,Bisnis dan Industri,Hukum
139,Evaluasi Dampak Sponsorship dan Investasi Keuangan pada Olahraga dan Rekreasi,Keuangan,Olahraga dan Rekreasi
140,Dampak Aktivitas Olahraga dan Rekreasi terhadap Konservasi Alam dan Pengelolaan Sumber Daya,Lingkungan dan Konservasi,Olahraga dan Rekreasi
141,Persepsi Masyarakat tentang Pengaruh Teknologi Informasi dan Komunikasi terhadap Industri Seni dan Budaya,Teknologi Informasi dan Komunikasi,Seni dan Budaya
142,Penilaian Terhadap Peran Industri Keuangan dalam Pembangunan Ekonomi Lokal,Bisnis dan Industri,Keuangan
143,Evaluasi Dampak Keuangan terhadap Praktik Keagamaan dan Spiritualitas,Keuangan,Agama dan Kepercayaan
144,Analisis Dampak Kebijakan Transportasi terhadap Peningkatan Mobilitas dan Konektivitas Antarwilayah,Transportasi dan Logistik,Politik dan Pemerintahan
145,Analisis Dampak Keyakinan Agama dalam Logistik Kegiatan Keagamaan,Agama dan Kepercayaan,Transportasi dan Logistik
146,Analisis Dampak Kebijakan Pemerintah terhadap Pelestarian Sumber Daya Alam dan Ekosistem,Politik dan Pemerintahan,Lingkungan dan Konservasi
147,Evaluasi Peran Pendidikan dalam Mempersiapkan Siswa untuk Mengembangkan Keahlian dalam Pertanian dan Perikanan: Persepsi Guru dan Siswa tentang Pentingnya Pembelajaran Pertanian dan Perikanan dalam Pendidikan,Pendidikan,Pertanian dan Perikanan
148,Penelitian Terhadap Peran Pemuka Agama dalam Masyarakat dan Kemanusiaan,Agama dan Kepercayaan,Sosial dan Kemanusiaan
149,Survei Kepuasan Masyarakat terhadap Kebijakan Kesehatan dan Pelayanan Publik,Politik dan Pemerintahan,Kesehatan
150,Kebutuhan dan Preferensi Masyarakat terhadap Program Olahraga dan Rekreasi di Wilayah Pertanian dan Perikanan,Olahraga dan Rekreasi,Pertanian dan Perikanan
151,Evaluasi Efektivitas Regulasi Hukum dalam Melindungi Warisan Budaya dan Situs Bersejarah: Penilaian Dampak Kebijakan Hukum terhadap Pelestarian Budaya dan Identitas Nasional,Hukum,Seni dan Budaya
152,Analisis Dampak Kebijakan Sosial terhadap Pengentasan Kemiskinan dan Perlindungan Sosial,Politik dan Pemerintahan,Sosial dan Kemanusiaan
153,Tinjauan atas Peran Pendidikan Keuangan dalam Mempersiapkan Siswa Mengelola Keuangan Pribadi dan Mengambil Keputusan Keuangan yang Bijaksana,Pendidikan,Keuangan
154,Survei Efektivitas Kebijakan Pertanian dan Perikanan dalam Mendukung Pembangunan Daerah,Pertanian dan Perikanan,Politik dan Pemerintahan
155,Pengaruh Faktor Lingkungan terhadap Kesehatan Masyarakat di Daerah Konservasi: Studi Kasus pada Komunitas Lokal,Kesehatan,Lingkungan dan Konservasi
156,Analisis Dampak Kebijakan Pemerintah terhadap Pembangunan Politik dan Demokrasi,Politik dan Pemerintahan,Politik dan Pemerintahan
157,Dampak Agama dalam Pembentukan Kebijakan Hukum,Agama dan Kepercayaan,Hukum
158,Penilaian Terhadap Peran Bisnis dalam Konservasi Sumber Daya Alam dan Lingkungan,Bisnis dan Industri,Lingkungan dan Konservasi
159,Dampak Agama dan Kepercayaan terhadap Nilai-Nilai Kemanusiaan dan Etika Sosial,Sosial dan Kemanusiaan,Agama dan Kepercayaan
160,Persepsi Masyarakat tentang Peran Teknologi Informasi dan Komunikasi dalam Pengelolaan Lingkungan dan Konservasi,Lingkungan dan Konservasi,Teknologi Informasi dan Komunikasi
161,Evaluasi Efektivitas Program Pendidikan dan Pelatihan di Bidang Pertanian dan Perikanan,Pertanian dan Perikanan,Pendidikan
162,Tinjauan atas Pengaruh Kebijakan Hukum terhadap Akses dan Kualitas Layanan Kesehatan: Evaluasi Dampak Kebijakan Hukum dalam Meningkatkan Kesehatan Masyarakat,Hukum,Kesehatan
163,Evaluasi Dampak Ekonomi Industri Olahraga dan Rekreasi terhadap Keuangan Masyarakat,Keuangan,Olahraga dan Rekreasi
164,Persepsi Masyarakat tentang Peran Pendidikan dalam Pengembangan Karakter dan Etika Siswa,Pendidikan,Pendidikan
165,Pengaruh Olahraga dan Rekreasi terhadap Prestasi Akademik,Olahraga dan Rekreasi,Pendidikan
166,Dampak Olahraga dan Rekreasi Terhadap Kesejahteraan Sosial dan Kemanusiaan,Olahraga dan Rekreasi,Sosial dan Kemanusiaan
167,Evaluasi Perlindungan Hukum terhadap Hak Atas Tanah dan Sumber Daya Alam dalam Konteks Pertanian dan Perikanan,Hukum,Pertanian dan Perikanan
168,"Evaluasi Perlindungan Hukum terhadap Kelompok Rentan dan Marginal: Persepsi dan Pengalaman Masyarakat terkait Perlindungan Hukum bagi Anak, Lansia, Penyandang Disabilitas, dan Kelompok Rentan lainnya dalam Masyarakat",Hukum,Sosial dan Kemanusiaan
169,Persepsi Masyarakat terhadap Etika Bisnis dan Tanggung Jawab Sosial Perusahaan,Politik dan Pemerintahan,Bisnis dan Industri
170,Penggunaan Teknologi Informasi dan Komunikasi dalam Mendorong Inovasi Bisnis dan Pengembangan Kebijakan Publik di Konteks Politik dan Pemerintahan,Teknologi Informasi dan Komunikasi,Politik dan Pemerintahan
171,Persepsi Masyarakat terhadap Pengelolaan dan Akuntabilitas Sektor Pendidikan,Politik dan Pemerintahan,Pendidikan
172,Dampak Praktik Perikanan dan Pertanian Berkelanjutan terhadap Lingkungan dan Kesejahteraan Masyarakat,Sosial dan Kemanusiaan,Pertanian dan Perikanan
173,Persepsi Masyarakat terhadap Kemitraan Industri dan Pendidikan dalam Persiapan Karier,Bisnis dan Industri,Pendidikan
174,Penilaian Terhadap Keandalan dan Responsifitas Transportasi dalam Mendukung Operasional Bisnis,Transportasi dan Logistik,Bisnis dan Industri
175,Persepsi Masyarakat tentang Tanggung Jawab Hukum dalam Penggunaan Teknologi Informasi dan Komunikasi di Ruang Publik,Teknologi Informasi dan Komunikasi,Hukum
176,Dampak Teknologi Informasi dan Komunikasi terhadap Pemasaran dan Promosi Destinasi Pariwisata,Teknologi Informasi dan Komunikasi,Pariwisata
177,Survei Kepuasan Wisatawan terhadap Layanan dan Fasilitas Industri Pariwisata,Bisnis dan Industri,Pariwisata
178,Penegakan Hukum terhadap Pelanggaran Etika Profesi Kesehatan: Studi Kasus pada Kasus Malpraktik di Indonesia,Kesehatan,Hukum
179,Pengelolaan Keuangan dalam Organisasi Seni dan Budaya,Seni dan Budaya,Keuangan
180,Pengaruh Olahraga dan Rekreasi terhadap Pengembangan Seni dan Budaya Lokal,Olahraga dan Rekreasi,Seni dan Budaya
