user_id,kategori,history
12,Pertanian dan Perikanan,6.0
13,Kesehatan,7.0
13,Pendidikan,5.0
13,Hukum,1.0
13,Keuangan,1.0
13,Pariwisata,3.0
13,Sosial dan Kemanusiaan,2.0
13,Lingkungan dan Konservasi,5.0
13,Teknologi Informasi dan Komunikasi,10.0
13,Olahraga dan Rekreasi,6.0
13,Seni dan Budaya,7.0
13,Agama dan Kepercayaan,4.0
13,Bisnis dan Industri,7.0
13,Politik dan Pemerintahan,8.0
13,Transportasi dan Logistik,1.0
13,Pertanian dan Perikanan,6.0
14,Kesehatan,8.0
14,Pendidikan,5.0
14,Hukum,4.0
14,Keuangan,2.0
14,Pariwisata,6.0
14,Sosial dan Kemanusiaan,6.0
14,Lingkungan dan Konservasi,1.0
14,Teknologi Informasi dan Komunikasi,9.0
14,Olahraga dan Rekreasi,6.0
14,Seni dan Budaya,3.0
14,Agama dan Kepercayaan,4.0
14,Bisnis dan Industri,4.0
14,Politik dan Pemerintahan,3.0
14,Transportasi dan Logistik,10.0
14,Pertanian dan Perikanan,3.0
15,Kesehatan,3.0
15,Pendidikan,4.0
15,Hukum,7.0
15,Keuangan,4.0
15,Pariwisata,9.0
15,Sosial dan Kemanusiaan,1.0
15,Lingkungan dan Konservasi,8.0
15,Teknologi Informasi dan Komunikasi,7.0
15,Olahraga dan Rekreasi,2.0
15,Seni dan Budaya,8.0
15,Agama dan Kepercayaan,1.0
15,Bisnis dan Industri,9.0
15,Politik dan Pemerintahan,9.0
15,Transportasi dan Logistik,2.0
15,Pertanian dan Perikanan,7.0
16,Kesehatan,10.0
16,Pendidikan,3.0
16,Hukum,7.0
16,Keuangan,10.0
16,Pariwisata,9.0
16,Sosial dan Kemanusiaan,4.0
16,Lingkungan dan Konservasi,1.0
16,Teknologi Informasi dan Komunikasi,2.0
16,Olahraga dan Rekreasi,1.0
16,Seni dan Budaya,5.0
16,Agama dan Kepercayaan,5.0
16,Bisnis dan Industri,7.0
16,Politik dan Pemerintahan,9.0
16,Transportasi dan Logistik,9.0
16,Pertanian dan Perikanan,3.0
17,Kesehatan,3.0
17,Pendidikan,3.0
17,Hukum,4.0
17,Keuangan,8.0
17,Pariwisata,6.0
17,Sosial dan Kemanusiaan,8.0
17,Lingkungan dan Konservasi,1.0
17,Teknologi Informasi dan Komunikasi,8.0
17,Olahraga dan Rekreasi,4.0
17,Seni dan Budaya,1.0
17,Agama dan Kepercayaan,8.0
17,Bisnis dan Industri,4.0
17,Politik dan Pemerintahan,6.0
17,Transportasi dan Logistik,8.0
17,Pertanian dan Perikanan,4.0
18,Kesehatan,3.0
18,Pendidikan,9.0
18,Hukum,3.0
18,Keuangan,9.0
18,Pariwisata,2.0
18,Sosial dan Kemanusiaan,2.0
18,Lingkungan dan Konservasi,2.0
18,Teknologi Informasi dan Komunikasi,6.0
18,Olahraga dan Rekreasi,3.0
18,Seni dan Budaya,9.0
18,Agama dan Kepercayaan,4.0
18,Bisnis dan Industri,1.0
18,Politik dan Pemerintahan,4.0
18,Transportasi dan Logistik,1.0
18,Pertanian dan Perikanan,5.0
19,Kesehatan,4.0
19,Pendidikan,8.0
19,Hukum,8.0
19,Keuangan,7.0
19,Pariwisata,3.0
19,Sosial dan Kemanusiaan,1.0
19,Lingkungan dan Konservasi,1.0
19,Teknologi Informasi dan Komunikasi,3.0
19,Olahraga dan Rekreasi,6.0
19,Seni dan Budaya,7.0
19,Agama dan Kepercayaan,6.0
19,Bisnis dan Industri,6.0
19,Politik dan Pemerintahan,6.0
19,Transportasi dan Logistik,3.0
19,Pertanian dan Perikanan,6.0
20,Kesehatan,8.0
20,Pendidikan,2.0
20,Hukum,5.0
20,Keuangan,1.0
20,Pariwisata,1.0
20,Sosial dan Kemanusiaan,5.0
20,Lingkungan dan Konservasi,3.0
20,Teknologi Informasi dan Komunikasi,4.0
20,Olahraga dan Rekreasi,3.0
20,Seni dan Budaya,1.0
20,Agama dan Kepercayaan,1.0
20,Bisnis dan Industri,5.0
20,Politik dan Pemerintahan,6.0
20,Transportasi dan Logistik,3.0
20,Pertanian dan Perikanan,9.0
21,Kesehatan,5.0
21,Pendidikan,8.0
21,Hukum,1.0
21,Keuangan,5.0
21,Pariwisata,3.0
21,Sosial dan Kemanusiaan,1.0
21,Lingkungan dan Konservasi,4.0
21,Teknologi Informasi dan Komunikasi,5.0
21,Olahraga dan Rekreasi,7.0
21,Seni dan Budaya,1.0
21,Agama dan Kepercayaan,3.0
21,Bisnis dan Industri,2.0
21,Politik dan Pemerintahan,9.0
21,Transportasi dan Logistik,10.0
21,Pertanian dan Perikanan,6.0
22,Kesehatan,10.0
22,Pendidikan,3.0
22,Hukum,8.0
22,Keuangan,8.0
22,Pariwisata,2.0
22,Sosial dan Kemanusiaan,6.0
22,Lingkungan dan Konservasi,7.0
22,Teknologi Informasi dan Komunikasi,2.0
22,Olahraga dan Rekreasi,10.0
22,Seni dan Budaya,2.0
22,Agama dan Kepercayaan,10.0
22,Bisnis dan Industri,1.0
22,Politik dan Pemerintahan,8.0
22,Transportasi dan Logistik,1.0
22,Pertanian dan Perikanan,9.0
23,Kesehatan,6.0
23,Pendidikan,7.0
23,Hukum,10.0
23,Keuangan,7.0
23,Pariwisata,10.0
23,Sosial dan Kemanusiaan,3.0
23,Lingkungan dan Konservasi,2.0
23,Teknologi Informasi dan Komunikasi,9.0
23,Olahraga dan Rekreasi,8.0
23,Seni dan Budaya,10.0
23,Agama dan Kepercayaan,7.0
23,Bisnis dan Industri,9.0
23,Politik dan Pemerintahan,4.0
23,Transportasi dan Logistik,4.0
23,Pertanian dan Perikanan,1.0
24,Kesehatan,8.0
24,Pendidikan,3.0
24,Hukum,7.0
24,Keuangan,2.0
24,Pariwisata,2.0
24,Sosial dan Kemanusiaan,7.0
24,Lingkungan dan Konservasi,6.0
24,Teknologi Informasi dan Komunikasi,3.0
24,Olahraga dan Rekreasi,9.0
24,Seni dan Budaya,10.0
24,Agama dan Kepercayaan,6.0
24,Bisnis dan Industri,10.0
24,Politik dan Pemerintahan,10.0
24,Transportasi dan Logistik,6.0
24,Pertanian dan Perikanan,1.0
25,Kesehatan,4.0
25,Pendidikan,10.0
25,Hukum,6.0
25,Keuangan,6.0
25,Pariwisata,5.0
25,Sosial dan Kemanusiaan,1.0
25,Lingkungan dan Konservasi,8.0
25,Teknologi Informasi dan Komunikasi,5.0
25,Olahraga dan Rekreasi,5.0
25,Seni dan Budaya,7.0
25,Agama dan Kepercayaan,4.0
25,Bisnis dan Industri,6.0
25,Politik dan Pemerintahan,4.0
25,Transportasi dan Logistik,3.0
25,Pertanian dan Perikanan,7.0
26,Kesehatan,8.0
26,Pendidikan,4.0
26,Hukum,2.0
26,Keuangan,10.0
26,Pariwisata,3.0
26,Sosial dan Kemanusiaan,1.0
26,Lingkungan dan Konservasi,8.0
26,Teknologi Informasi dan Komunikasi,3.0
26,Olahraga dan Rekreasi,10.0
26,Seni dan Budaya,7.0
26,Agama dan Kepercayaan,10.0
26,Bisnis dan Industri,5.0
26,Politik dan Pemerintahan,10.0
26,Transportasi dan Logistik,5.0
26,Pertanian dan Perikanan,7.0
27,Kesehatan,9.0
27,Pendidikan,5.0
27,Hukum,1.0
27,Keuangan,10.0
27,Pariwisata,10.0
27,Sosial dan Kemanusiaan,1.0
27,Lingkungan dan Konservasi,2.0
27,Teknologi Informasi dan Komunikasi,6.0
27,Olahraga dan Rekreasi,9.0
27,Seni dan Budaya,8.0
27,Agama dan Kepercayaan,5.0
27,Bisnis dan Industri,1.0
27,Politik dan Pemerintahan,7.0
27,Transportasi dan Logistik,5.0
27,Pertanian dan Perikanan,6.0
28,Kesehatan,7.0
28,Pendidikan,3.0
28,Hukum,10.0
28,Keuangan,3.0
28,Pariwisata,5.0
28,Sosial dan Kemanusiaan,6.0
28,Lingkungan dan Konservasi,9.0
28,Teknologi Informasi dan Komunikasi,5.0
28,Olahraga dan Rekreasi,1.0
28,Seni dan Budaya,4.0
28,Agama dan Kepercayaan,5.0
28,Bisnis dan Industri,10.0
28,Politik dan Pemerintahan,10.0
28,Transportasi dan Logistik,5.0
28,Pertanian dan Perikanan,7.0
29,Kesehatan,4.0
29,Pendidikan,1.0
29,Hukum,5.0
29,Keuangan,7.0
29,Pariwisata,10.0
29,Sosial dan Kemanusiaan,10.0
29,Lingkungan dan Konservasi,6.0
29,Teknologi Informasi dan Komunikasi,5.0
29,Olahraga dan Rekreasi,4.0
29,Seni dan Budaya,2.0
29,Agama dan Kepercayaan,4.0
29,Bisnis dan Industri,10.0
29,Politik dan Pemerintahan,10.0
29,Transportasi dan Logistik,3.0
29,Pertanian dan Perikanan,10.0
30,Kesehatan,1.0
30,Pendidikan,8.0
30,Hukum,5.0
30,Keuangan,4.0
30,Pariwisata,8.0
30,Sosial dan Kemanusiaan,7.0
30,Lingkungan dan Konservasi,2.0
30,Teknologi Informasi dan Komunikasi,1.0
30,Olahraga dan Rekreasi,4.0
30,Seni dan Budaya,8.0
30,Agama dan Kepercayaan,2.0
30,Bisnis dan Industri,3.0
30,Politik dan Pemerintahan,1.0
30,Transportasi dan Logistik,1.0
30,Pertanian dan Perikanan,3.0
31,Kesehatan,5.0
31,Pendidikan,3.0
31,Hukum,1.0
31,Keuangan,1.0
31,Pariwisata,8.0
31,Sosial dan Kemanusiaan,10.0
31,Lingkungan dan Konservasi,2.0
31,Teknologi Informasi dan Komunikasi,3.0
31,Olahraga dan Rekreasi,2.0
31,Seni dan Budaya,3.0
31,Agama dan Kepercayaan,7.0
31,Bisnis dan Industri,1.0
31,Politik dan Pemerintahan,10.0
31,Transportasi dan Logistik,8.0
31,Pertanian dan Perikanan,10.0
32,Kesehatan,10.0
32,Pendidikan,10.0
32,Hukum,2.0
32,Keuangan,3.0
32,Pariwisata,9.0
32,Sosial dan Kemanusiaan,7.0
32,Lingkungan dan Konservasi,4.0
32,Teknologi Informasi dan Komunikasi,10.0
32,Olahraga dan Rekreasi,5.0
32,Seni dan Budaya,2.0
32,Agama dan Kepercayaan,8.0
32,Bisnis dan Industri,4.0
32,Politik dan Pemerintahan,9.0
32,Transportasi dan Logistik,5.0
32,Pertanian dan Perikanan,9.0
33,Kesehatan,4.0
33,Pendidikan,10.0
33,Hukum,5.0
33,Keuangan,9.0
33,Pariwisata,8.0
33,Sosial dan Kemanusiaan,3.0
33,Lingkungan dan Konservasi,1.0
33,Teknologi Informasi dan Komunikasi,3.0
33,Olahraga dan Rekreasi,4.0
33,Seni dan Budaya,2.0
33,Agama dan Kepercayaan,1.0
33,Bisnis dan Industri,7.0
33,Politik dan Pemerintahan,8.0
33,Transportasi dan Logistik,7.0
33,Pertanian dan Perikanan,5.0
34,Kesehatan,1.0
34,Pendidikan,7.0
34,Hukum,7.0
34,Keuangan,9.0
34,Pariwisata,3.0
34,Sosial dan Kemanusiaan,9.0
34,Lingkungan dan Konservasi,1.0
34,Teknologi Informasi dan Komunikasi,1.0
34,Olahraga dan Rekreasi,4.0
34,Seni dan Budaya,9.0
34,Agama dan Kepercayaan,6.0
34,Bisnis dan Industri,3.0
34,Politik dan Pemerintahan,1.0
34,Transportasi dan Logistik,4.0
34,Pertanian dan Perikanan,9.0
35,Kesehatan,3.0
35,Pendidikan,9.0
35,Hukum,7.0
35,Keuangan,4.0
35,Pariwisata,3.0
35,Sosial dan Kemanusiaan,10.0
35,Lingkungan dan Konservasi,5.0
35,Teknologi Informasi dan Komunikasi,5.0
35,Olahraga dan Rekreasi,3.0
35,Seni dan Budaya,9.0
35,Agama dan Kepercayaan,4.0
35,Bisnis dan Industri,5.0
35,Politik dan Pemerintahan,4.0
35,Transportasi dan Logistik,5.0
35,Pertanian dan Perikanan,7.0
36,Kesehatan,9.0
36,Pendidikan,7.0
36,Hukum,5.0
36,Keuangan,10.0
36,Pariwisata,10.0
36,Sosial dan Kemanusiaan,7.0
36,Lingkungan dan Konservasi,10.0
36,Teknologi Informasi dan Komunikasi,5.0
36,Olahraga dan Rekreasi,3.0
36,Seni dan Budaya,7.0
36,Agama dan Kepercayaan,2.0
36,Bisnis dan Industri,9.0
36,Politik dan Pemerintahan,10.0
36,Transportasi dan Logistik,10.0
36,Pertanian dan Perikanan,1.0
37,Kesehatan,6.0
37,Pendidikan,7.0
37,Hukum,8.0
37,Keuangan,10.0
37,Pariwisata,9.0
37,Sosial dan Kemanusiaan,2.0
37,Lingkungan dan Konservasi,10.0
37,Teknologi Informasi dan Komunikasi,2.0
37,Olahraga dan Rekreasi,5.0
37,Seni dan Budaya,5.0
37,Agama dan Kepercayaan,6.0
37,Bisnis dan Industri,3.0
37,Politik dan Pemerintahan,8.0
37,Transportasi dan Logistik,1.0
37,Pertanian dan Perikanan,6.0
38,Kesehatan,4.0
38,Pendidikan,1.0
38,Hukum,7.0
38,Keuangan,9.0
38,Pariwisata,4.0
38,Sosial dan Kemanusiaan,4.0
38,Lingkungan dan Konservasi,6.0
38,Teknologi Informasi dan Komunikasi,3.0
38,Olahraga dan Rekreasi,6.0
38,Seni dan Budaya,7.0
38,Agama dan Kepercayaan,10.0
38,Bisnis dan Industri,10.0
38,Politik dan Pemerintahan,3.0
38,Transportasi dan Logistik,7.0
38,Pertanian dan Perikanan,3.0
39,Kesehatan,2.0
39,Pendidikan,10.0
39,Hukum,4.0
39,Keuangan,8.0
39,Pariwisata,9.0
39,Sosial dan Kemanusiaan,7.0
39,Lingkungan dan Konservasi,1.0
39,Teknologi Informasi dan Komunikasi,3.0
39,Olahraga dan Rekreasi,9.0
39,Seni dan Budaya,1.0
39,Agama dan Kepercayaan,9.0
39,Bisnis dan Industri,8.0
39,Politik dan Pemerintahan,1.0
39,Transportasi dan Logistik,6.0
39,Pertanian dan Perikanan,5.0
40,Kesehatan,6.0
40,Pendidikan,10.0
40,Hukum,5.0
40,Keuangan,6.0
40,Pariwisata,5.0
40,Sosial dan Kemanusiaan,5.0
40,Lingkungan dan Konservasi,4.0
40,Teknologi Informasi dan Komunikasi,3.0
40,Olahraga dan Rekreasi,3.0
40,Seni dan Budaya,4.0
40,Agama dan Kepercayaan,9.0
40,Bisnis dan Industri,2.0
40,Politik dan Pemerintahan,9.0
40,Transportasi dan Logistik,1.0
40,Pertanian dan Perikanan,1.0
41,Kesehatan,5.0
41,Pendidikan,6.0
41,Hukum,6.0
41,Keuangan,3.0
41,Pariwisata,7.0
41,Sosial dan Kemanusiaan,9.0
41,Lingkungan dan Konservasi,10.0
41,Teknologi Informasi dan Komunikasi,8.0
41,Olahraga dan Rekreasi,6.0
41,Seni dan Budaya,8.0
41,Agama dan Kepercayaan,5.0
41,Bisnis dan Industri,8.0
41,Politik dan Pemerintahan,10.0
41,Transportasi dan Logistik,4.0
41,Pertanian dan Perikanan,10.0
42,Kesehatan,8.0
42,Pendidikan,10.0
42,Hukum,2.0
42,Keuangan,5.0
42,Pariwisata,9.0
42,Sosial dan Kemanusiaan,4.0
42,Lingkungan dan Konservasi,6.0
42,Teknologi Informasi dan Komunikasi,1.0
42,Olahraga dan Rekreasi,9.0
42,Seni dan Budaya,1.0
42,Agama dan Kepercayaan,5.0
42,Bisnis dan Industri,4.0
42,Politik dan Pemerintahan,3.0
42,Transportasi dan Logistik,6.0
42,Pertanian dan Perikanan,2.0
43,Kesehatan,3.0
43,Pendidikan,5.0
43,Hukum,9.0
43,Keuangan,2.0
43,Pariwisata,10.0
43,Sosial dan Kemanusiaan,8.0
43,Lingkungan dan Konservasi,2.0
43,Teknologi Informasi dan Komunikasi,5.0
43,Olahraga dan Rekreasi,7.0
43,Seni dan Budaya,8.0
43,Agama dan Kepercayaan,1.0
43,Bisnis dan Industri,6.0
43,Politik dan Pemerintahan,1.0
43,Transportasi dan Logistik,2.0
43,Pertanian dan Perikanan,1.0
44,Kesehatan,5.0
44,Pendidikan,10.0
44,Hukum,9.0
44,Keuangan,6.0
44,Pariwisata,1.0
44,Sosial dan Kemanusiaan,1.0
44,Lingkungan dan Konservasi,2.0
44,Teknologi Informasi dan Komunikasi,9.0
44,Olahraga dan Rekreasi,3.0
44,Seni dan Budaya,1.0
44,Agama dan Kepercayaan,5.0
44,Bisnis dan Industri,7.0
44,Politik dan Pemerintahan,6.0
44,Transportasi dan Logistik,1.0
44,Pertanian dan Perikanan,5.0
45,Kesehatan,5.0
45,Pendidikan,6.0
45,Hukum,3.0
45,Keuangan,5.0
45,Pariwisata,7.0
45,Sosial dan Kemanusiaan,5.0
45,Lingkungan dan Konservasi,5.0
45,Teknologi Informasi dan Komunikasi,5.0
45,Olahraga dan Rekreasi,10.0
45,Seni dan Budaya,10.0
45,Agama dan Kepercayaan,3.0
45,Bisnis dan Industri,1.0
45,Politik dan Pemerintahan,5.0
45,Transportasi dan Logistik,9.0
45,Pertanian dan Perikanan,1.0
46,Kesehatan,3.0
46,Pendidikan,4.0
46,Hukum,1.0
46,Keuangan,1.0
46,Pariwisata,8.0
46,Sosial dan Kemanusiaan,2.0
46,Lingkungan dan Konservasi,8.0
46,Teknologi Informasi dan Komunikasi,7.0
46,Olahraga dan Rekreasi,10.0
46,Seni dan Budaya,10.0
46,Agama dan Kepercayaan,2.0
46,Bisnis dan Industri,6.0
46,Politik dan Pemerintahan,6.0
46,Transportasi dan Logistik,3.0
46,Pertanian dan Perikanan,2.0
47,Kesehatan,1.0
47,Pendidikan,6.0
47,Hukum,5.0
47,Keuangan,9.0
47,Pariwisata,1.0
47,Sosial dan Kemanusiaan,7.0
47,Lingkungan dan Konservasi,5.0
47,Teknologi Informasi dan Komunikasi,5.0
47,Olahraga dan Rekreasi,2.0
47,Seni dan Budaya,3.0
47,Agama dan Kepercayaan,7.0
47,Bisnis dan Industri,6.0
47,Politik dan Pemerintahan,2.0
47,Transportasi dan Logistik,6.0
47,Pertanian dan Perikanan,2.0
48,Kesehatan,2.0
48,Pendidikan,2.0
48,Hukum,3.0
48,Keuangan,2.0
48,Pariwisata,4.0
48,Sosial dan Kemanusiaan,9.0
48,Lingkungan dan Konservasi,6.0
48,Teknologi Informasi dan Komunikasi,1.0
48,Olahraga dan Rekreasi,8.0
48,Seni dan Budaya,7.0
48,Agama dan Kepercayaan,10.0
48,Bisnis dan Industri,3.0
48,Politik dan Pemerintahan,1.0
48,Transportasi dan Logistik,5.0
48,Pertanian dan Perikanan,4.0
49,Kesehatan,10.0
49,Pendidikan,8.0
49,Hukum,1.0
49,Keuangan,10.0
49,Pariwisata,1.0
49,Sosial dan Kemanusiaan,4.0
49,Lingkungan dan Konservasi,8.0
49,Teknologi Informasi dan Komunikasi,5.0
49,Olahraga dan Rekreasi,2.0
49,Seni dan Budaya,6.0
49,Agama dan Kepercayaan,5.0
49,Bisnis dan Industri,2.0
49,Politik dan Pemerintahan,3.0
49,Transportasi dan Logistik,9.0
49,Pertanian dan Perikanan,7.0
50,Kesehatan,7.0
50,Pendidikan,6.0
50,Hukum,8.0
50,Keuangan,4.0
50,Pariwisata,8.0
50,Sosial dan Kemanusiaan,4.0
50,Lingkungan dan Konservasi,8.0
50,Teknologi Informasi dan Komunikasi,9.0
50,Olahraga dan Rekreasi,3.0
50,Seni dan Budaya,3.0
50,Agama dan Kepercayaan,2.0
50,Bisnis dan Industri,10.0
50,Politik dan Pemerintahan,3.0
50,Transportasi dan Logistik,3.0
50,Pertanian dan Perikanan,5.0
51,Kesehatan,5.0
51,Pendidikan,2.0
51,Hukum,10.0
51,Keuangan,6.0
51,Pariwisata,5.0
51,Sosial dan Kemanusiaan,6.0
51,Lingkungan dan Konservasi,1.0
51,Teknologi Informasi dan Komunikasi,5.0
51,Olahraga dan Rekreasi,9.0
51,Seni dan Budaya,10.0
51,Agama dan Kepercayaan,2.0
51,Bisnis dan Industri,1.0
51,Politik dan Pemerintahan,10.0
51,Transportasi dan Logistik,9.0
51,Pertanian dan Perikanan,10.0
52,Kesehatan,9.0
52,Pendidikan,9.0
52,Hukum,6.0
52,Keuangan,8.0
52,Pariwisata,1.0
52,Sosial dan Kemanusiaan,10.0
52,Lingkungan dan Konservasi,4.0
52,Teknologi Informasi dan Komunikasi,1.0
52,Olahraga dan Rekreasi,8.0
52,Seni dan Budaya,1.0
52,Agama dan Kepercayaan,3.0
52,Bisnis dan Industri,4.0
52,Politik dan Pemerintahan,8.0
52,Transportasi dan Logistik,6.0
52,Pertanian dan Perikanan,10.0
53,Kesehatan,7.0
53,Pendidikan,8.0
53,Hukum,2.0
53,Keuangan,10.0
53,Pariwisata,8.0
53,Sosial dan Kemanusiaan,3.0
53,Lingkungan dan Konservasi,7.0
53,Teknologi Informasi dan Komunikasi,3.0
53,Olahraga dan Rekreasi,7.0
53,Seni dan Budaya,2.0
53,Agama dan Kepercayaan,10.0
53,Bisnis dan Industri,6.0
53,Politik dan Pemerintahan,3.0
53,Transportasi dan Logistik,3.0
53,Pertanian dan Perikanan,9.0
54,Kesehatan,7.0
54,Pendidikan,5.0
54,Hukum,10.0
54,Keuangan,7.0
54,Pariwisata,9.0
54,Sosial dan Kemanusiaan,1.0
54,Lingkungan dan Konservasi,7.0
54,Teknologi Informasi dan Komunikasi,6.0
54,Olahraga dan Rekreasi,10.0
54,Seni dan Budaya,9.0
54,Agama dan Kepercayaan,1.0
54,Bisnis dan Industri,4.0
54,Politik dan Pemerintahan,9.0
54,Transportasi dan Logistik,4.0
54,Pertanian dan Perikanan,10.0
55,Kesehatan,3.0
55,Pendidikan,9.0
55,Hukum,2.0
55,Keuangan,4.0
55,Pariwisata,6.0
55,Sosial dan Kemanusiaan,2.0
55,Lingkungan dan Konservasi,8.0
55,Teknologi Informasi dan Komunikasi,8.0
55,Olahraga dan Rekreasi,1.0
55,Seni dan Budaya,3.0
55,Agama dan Kepercayaan,10.0
55,Bisnis dan Industri,9.0
