judul,category_1,category_2,the_category
Pengaruh Agama dan Kepercayaan terhadap Pemahaman dan Praktik Kesehatan Masyarakat: Studi Kasus pada Komunitas Beragama,Kesehatan,Agama dan Kepercayaan,Kesehatan & Agama dan Kepercayaan
Peran Pemimpin Agama dalam Promosi Kesehatan dan Perilaku Hidup Sehat: Pendekatan dan Pengaruhnya terhadap Masyarakat,Kesehatan,Agama dan Kepercayaan,Kesehatan & Agama dan Kepercayaan
Dampak Spiritualitas dan Kepercayaan pada Kesehatan dan Kesembuhan Pasien: Perspektif dan Pengalaman Pasien,Kesehatan,Agama dan Kepercayaan,Kesehatan & Agama dan Kepercayaan
Persepsi dan Praktik Kepercayaan Tradisional terhadap Kesehatan dan Pengobatan: Survei pada Komunitas Etnik,Kesehatan,Agama dan Kepercayaan,Kesehatan & Agama dan Kepercayaan
Pengaruh Ritual Keagamaan terhadap Kesehatan Mental dan Emosional: Studi Kasus pada Anggota Komunitas Keagamaan,Kesehatan,Agama dan Kepercayaan,Kesehatan & Agama dan Kepercayaan
Evaluasi Peran Lembaga Keagamaan dalam Meningkatkan Kesadaran dan Perilaku Hidup Sehat: Tinjauan pada Program Kesehatan Komunitas,Kesehatan,Agama dan Kepercayaan,Kesehatan & Agama dan Kepercayaan
Dampak Lingkungan Kerja terhadap Kesehatan Karyawan dalam Industri Kesehatan: Studi Kasus pada Rumah Sakit di Wilayah Palembang,Kesehatan,Bisnis dan Industri,Kesehatan & Bisnis dan Industri
Evaluasi Kualitas Layanan Kesehatan dalam Industri Farmasi: Persepsi Pelanggan dan Implikasinya terhadap Kesehatan Masyarakat,Kesehatan,Bisnis dan Industri,Kesehatan & Bisnis dan Industri
Pengaruh Kebijakan Kesehatan Terhadap Industri Makanan dan Minuman: Studi Kasus pada Efek Regulasi dan Respons Industri,Kesehatan,Bisnis dan Industri,Kesehatan & Bisnis dan Industri
Persepsi dan Preferensi Konsumen terhadap Produk Kesehatan dan Kebugaran dalam Industri Retail: Survei pada Pelanggan di Toko-toko Kesehatan,Kesehatan,Bisnis dan Industri,Kesehatan & Bisnis dan Industri
Pengaruh Teknologi dalam Transformasi Industri Kesehatan: Tinjauan tentang Penggunaan Telemedicine dan Inovasi Teknologi Lainnya dalam Pelayanan Kesehatan,Kesehatan,Bisnis dan Industri,Kesehatan & Bisnis dan Industri
Persepsi Masyarakat tentang Kebijakan Kesehatan dan Dampaknya pada Kualitas Pelayanan Kesehatan,Kesehatan,Politik dan Pemerintahan,Kesehatan & Politik dan Pemerintahan
Evaluasi Program Kesehatan Masyarakat dalam Kaitannya dengan Kebijakan Politik dan Manajemen Pemerintahan,Kesehatan,Politik dan Pemerintahan,Kesehatan & Politik dan Pemerintahan
Pengaruh Struktur Pemerintahan dan Kebijakan Kesehatan terhadap Akses dan Kualitas Pelayanan Kesehatan: Perspektif Stakeholder,Kesehatan,Politik dan Pemerintahan,Kesehatan & Politik dan Pemerintahan
Partisipasi Masyarakat dalam Pengambilan Keputusan Kebijakan Kesehatan: Tinjauan tentang Peran dan Dampaknya pada Peningkatan Kesehatan Masyarakat,Kesehatan,Politik dan Pemerintahan,Kesehatan & Politik dan Pemerintahan
Analisis Hubungan antara Kondisi Kesehatan Masyarakat dan Kinerja Pemerintah: Penilaian Kebijakan Kesehatan dan Efektivitas Penanganan Kesehatan,Kesehatan,Politik dan Pemerintahan,Kesehatan & Politik dan Pemerintahan
Evaluasi Kualitas Pelayanan Kesehatan dalam Industri Transportasi: Perspektif Pengguna Layanan Kesehatan di Bandara Soekarno-Hatta,Kesehatan,Transportasi dan Logistik,Kesehatan & Transportasi dan Logistik
Dampak Transportasi dan Logistik terhadap Kesehatan Masyarakat: Survei tentang Penggunaan Moda Transportasi dan Kondisi Kesehatan,Kesehatan,Transportasi dan Logistik,Kesehatan & Transportasi dan Logistik
Persepsi Pengguna Transportasi Umum tentang Fasilitas dan Kebijakan Kesehatan: Studi Kasus pada Penumpang Angkutan Umum,Kesehatan,Transportasi dan Logistik,Kesehatan & Transportasi dan Logistik
Pengaruh Sistem Logistik Kesehatan dalam Mendukung Distribusi Obat dan Pelayanan Kesehatan: Tinjauan terhadap Efisiensi dan Aksesibilitas,Kesehatan,Transportasi dan Logistik,Kesehatan & Transportasi dan Logistik
Analisis Risiko Kesehatan dalam Industri Transportasi dan Logistik: Studi Kasus pada Pekerja di Sektor Transportasi dan Logistik,Kesehatan,Transportasi dan Logistik,Kesehatan & Transportasi dan Logistik
Evaluasi Kesehatan Petani dan Nelayan: Tinjauan tentang Dampak Kondisi Kerja dan Lingkungan Pertanian dan Perikanan terhadap Kesehatan Masyarakat,Kesehatan,Pertanian dan Perikanan,Kesehatan & Pertanian dan Perikanan
Persepsi Masyarakat tentang Keamanan Pangan dari Sektor Pertanian dan Perikanan: Survei pada Konsumen terkait Kualitas dan Kandungan Gizi Produk Pertanian dan Perikanan,Kesehatan,Pertanian dan Perikanan,Kesehatan & Pertanian dan Perikanan
Pengaruh Penggunaan Pestisida dan Bahan Kimia pada Kesehatan Petani dan Nelayan: Studi Kasus tentang Dampak Paparan dan Kebijakan Pengendalian,Kesehatan,Pertanian dan Perikanan,Kesehatan & Pertanian dan Perikanan
Evaluasi Kualitas dan Keamanan Produk Pertanian dan Perikanan: Perspektif Konsumen dan Implikasinya terhadap Kesehatan Masyarakat,Kesehatan,Pertanian dan Perikanan,Kesehatan & Pertanian dan Perikanan
Hubungan antara Gizi dan Kesehatan Masyarakat dengan Produksi Pertanian dan Perikanan: Analisis Keterkaitan dan Implikasi Kebijakan,Kesehatan,Pertanian dan Perikanan,Kesehatan & Pertanian dan Perikanan
Persepsi Petani dan Nelayan tentang Kesehatan dan Keselamatan Kerja dalam Sektor Pertanian dan Perikanan,Kesehatan,Pertanian dan Perikanan,Kesehatan & Pertanian dan Perikanan
Dampak Perubahan Iklim terhadap Kesehatan Masyarakat dari Sektor Pertanian dan Perikanan: Tinjauan tentang Risiko dan Adaptasi,Kesehatan,Pertanian dan Perikanan,Kesehatan & Pertanian dan Perikanan
Hubungan antara Faktor Pendidikan dan Pengetahuan Kesehatan Masyarakat: Survei tentang Tingkat Kesadaran dan Pemahaman di Kalangan Mahasiswa,Pendidikan,Kesehatan,Pendidikan & Kesehatan
Evaluasi Program Pendidikan Kesehatan di Institusi Pendidikan: Tinjauan terhadap Efektivitas dan Dampak pada Pengetahuan dan Perilaku Hidup Sehat Siswa,Pendidikan,Kesehatan,Pendidikan & Kesehatan
Persepsi Guru dan Siswa tentang Kesehatan Lingkungan di Sekolah/Universitas: Studi Kasus pada Faktor-Faktor yang Mempengaruhi Kondisi Kesehatan di Lingkungan Pendidikan,Pendidikan,Kesehatan,Pendidikan & Kesehatan
Pengaruh Faktor Pendidikan terhadap Gaya Hidup Sehat dan Kebiasaan Makan: Survei pada Mahasiswa dalam Konteks Kehidupan Kampus,Pendidikan,Kesehatan,Pendidikan & Kesehatan
Peran Pendidikan Kesehatan dalam Pencegahan Penyakit dan Promosi Kesehatan di Lingkungan Pendidikan: Tinjauan terhadap Kurikulum dan Program yang Dilakukan,Pendidikan,Kesehatan,Pendidikan & Kesehatan
Pengaruh Pendidikan Seksualitas dan Reproduksi terhadap Pengetahuan dan Sikap Kesehatan Reproduksi Remaja: Studi Kasus pada Pelajar,Pendidikan,Kesehatan,Pendidikan & Kesehatan
Pengaruh Program Pendidikan Kesehatan terhadap Pengetahuan dan Perilaku Hidup Sehat Siswa SMA,Pendidikan,Kesehatan,Pendidikan & Kesehatan
Evaluasi Kualitas Pembelajaran dalam Era Digital: Persepsi Guru dan Siswa terhadap Penggunaan Teknologi dalam Proses Pembelajaran,Pendidikan,Pendidikan,Pendidikan & Pendidikan
Pengaruh Metode Pembelajaran Aktif terhadap Minat Belajar dan Prestasi Akademik Siswa,Pendidikan,Pendidikan,Pendidikan & Pendidikan
Penilaian Kepuasan Siswa terhadap Layanan Bimbingan dan Konseling di Sekolah,Pendidikan,Pendidikan,Pendidikan & Pendidikan
Evaluasi Program Pendidikan Inklusif: Tinjauan terhadap Kesesuaian dan Efektivitas Pendekatan Pembelajaran,Pendidikan,Pendidikan,Pendidikan & Pendidikan
Persepsi Masyarakat tentang Peran Pendidikan dalam Pengembangan Karakter dan Etika Siswa,Pendidikan,Pendidikan,Pendidikan & Pendidikan
Dampak Keterlibatan Orang Tua dalam Pendidikan Anak: Tinjauan tentang Partisipasi dan Dukungan Orang Tua dalam Proses Pembelajaran,Pendidikan,Pendidikan,Pendidikan & Pendidikan
Evaluasi Implementasi Kurikulum Berbasis Kompetensi: Persepsi Guru dan Siswa terkait Relevansi dan Efektivitas Kurikulum,Pendidikan,Pendidikan,Pendidikan & Pendidikan
Evaluasi Efektivitas Pendidikan Hukum dalam Sekolah: Persepsi Guru dan Siswa tentang Pengetahuan dan Kesadaran Hukum Siswa,Pendidikan,Hukum,Pendidikan & Hukum
Tinjauan atas Peran Pendidikan Hukum dalam Meningkatkan Kesadaran Hukum dan Penerapan Nilai Keadilan di Kalangan Siswa,Pendidikan,Hukum,Pendidikan & Hukum
Evaluasi Pelaksanaan Program Pendidikan Hukum dalam Mempersiapkan Siswa Menghadapi Tantangan Hukum di Era Digital,Pendidikan,Hukum,Pendidikan & Hukum
"Persepsi Siswa tentang Etika, Tanggung Jawab Hukum, dan Hak Asasi Manusia dalam Pendidikan: Tinjauan terhadap Pengaruh Pendidikan Hukum pada Sikap dan Perilaku Siswa",Pendidikan,Hukum,Pendidikan & Hukum
Evaluasi Efektivitas Program Pendidikan Keuangan di Sekolah: Persepsi Guru dan Siswa tentang Pengetahuan dan Keterampilan Keuangan Siswa,Pendidikan,Keuangan,Pendidikan & Keuangan
Tinjauan atas Peran Pendidikan Keuangan dalam Mempersiapkan Siswa Mengelola Keuangan Pribadi dan Mengambil Keputusan Keuangan yang Bijaksana,Pendidikan,Keuangan,Pendidikan & Keuangan
Pengaruh Pendidikan Keuangan terhadap Kesadaran dan Sikap Investasi Siswa: Studi Kasus pada Program Pendidikan Keuangan di Sekolah,Pendidikan,Keuangan,Pendidikan & Keuangan
Evaluasi Implementasi Kurikulum Pendidikan Keuangan: Persepsi Guru dan Siswa tentang Relevansi dan Efektivitas Pembelajaran Keuangan di Sekolah,Pendidikan,Keuangan,Pendidikan & Keuangan
Persepsi Siswa tentang Pengelolaan Keuangan Berkelanjutan: Tinjauan terhadap Pengaruh Pendidikan Keuangan pada Perilaku Keuangan dan Kesadaran Lingkungan,Pendidikan,Keuangan,Pendidikan & Keuangan
Evaluasi Peran Pendidikan dalam Pengembangan Pariwisata Berkelanjutan: Persepsi Guru dan Siswa tentang Konservasi Alam dan Budaya dalam Konteks Pariwisata,Pendidikan,Pariwisata,Pendidikan & Pariwisata
Tinjauan atas Implementasi Program Pendidikan Pariwisata di Sekolah: Penilaian Efektivitas dan Dampak pada Pengetahuan dan Minat Siswa terhadap Industri Pariwisata,Pendidikan,Pariwisata,Pendidikan & Pariwisata
Pengaruh Pendidikan Pariwisata terhadap Kesadaran dan Partisipasi Siswa dalam Pelestarian Warisan Budaya Lokal dan Lingkungan di Destinasi Pariwisata,Pendidikan,Pariwisata,Pendidikan & Pariwisata
Evaluasi Kurikulum Pendidikan Pariwisata: Persepsi Guru dan Siswa tentang Relevansi dan Efektivitas Pembelajaran Pariwisata di Sekolah,Pendidikan,Pariwisata,Pendidikan & Pariwisata
Evaluasi Peran Pendidikan dalam Membangun Kesadaran Sosial dan Kemanusiaan Siswa: Studi Kasus tentang Program-Program Pendidikan Kemanusiaan di Sekolah,Pendidikan,Sosial dan Kemanusiaan,Pendidikan & Sosial dan Kemanusiaan
Tinjauan atas Implementasi Program Pendidikan Sosial dalam Mempersiapkan Siswa menjadi Individu yang Peduli terhadap Isu-isu Sosial dan Kemanusiaan,Pendidikan,Sosial dan Kemanusiaan,Pendidikan & Sosial dan Kemanusiaan
Pengaruh Pendidikan Kemanusiaan terhadap Sikap Empati dan Kepekaan Sosial Siswa: Persepsi Guru dan Siswa tentang Efektivitas Program Pendidikan Kemanusiaan,Pendidikan,Sosial dan Kemanusiaan,Pendidikan & Sosial dan Kemanusiaan
Evaluasi Kurikulum Pendidikan Sosial: Persepsi Guru dan Siswa tentang Relevansi dan Efektivitas Pembelajaran Sosial dalam Konteks Kemanusiaan,Pendidikan,Sosial dan Kemanusiaan,Pendidikan & Sosial dan Kemanusiaan
Evaluasi Peran Pendidikan dalam Membangun Kesadaran Lingkungan dan Konservasi Siswa: Studi Kasus tentang Program-Program Pendidikan Lingkungan di Sekolah,Pendidikan,Lingkungan dan Konservasi,Pendidikan & Lingkungan dan Konservasi
Tinjauan atas Implementasi Program Pendidikan Lingkungan dalam Mempersiapkan Siswa menjadi Individu yang Peduli terhadap Konservasi Lingkungan,Pendidikan,Lingkungan dan Konservasi,Pendidikan & Lingkungan dan Konservasi
Pengaruh Pendidikan Lingkungan terhadap Pengetahuan dan Sikap Konservasi Siswa: Persepsi Guru dan Siswa tentang Efektivitas Program Pendidikan Lingkungan,Pendidikan,Lingkungan dan Konservasi,Pendidikan & Lingkungan dan Konservasi
Evaluasi Kurikulum Pendidikan Lingkungan: Persepsi Guru dan Siswa tentang Relevansi dan Efektivitas Pembelajaran Lingkungan dalam Konteks Konservasi,Pendidikan,Lingkungan dan Konservasi,Pendidikan & Lingkungan dan Konservasi
Evaluasi Penggunaan Teknologi Informasi dan Komunikasi dalam Proses Pembelajaran: Persepsi Guru dan Siswa tentang Efektivitas dan Dampaknya pada Prestasi Akademik,Pendidikan,Teknologi Informasi dan Komunikasi,Pendidikan & Teknologi Informasi dan Komunikasi
Tinjauan atas Implementasi Program Pendidikan Berbasis Teknologi Informasi dan Komunikasi: Penilaian Efektivitas dan Persepsi Siswa tentang Penggunaan Teknologi dalam Pembelajaran,Pendidikan,Teknologi Informasi dan Komunikasi,Pendidikan & Teknologi Informasi dan Komunikasi
Pengaruh Teknologi Informasi dan Komunikasi terhadap Motivasi dan Keterlibatan Siswa dalam Pembelajaran: Studi Kasus pada Penggunaan Aplikasi dan Platform Digital di Sekolah,Pendidikan,Teknologi Informasi dan Komunikasi,Pendidikan & Teknologi Informasi dan Komunikasi
Persepsi Guru dan Siswa tentang Etika Penggunaan Teknologi Informasi dan Komunikasi di Sekolah: Tinjauan terhadap Kebijakan dan Kesadaran Etis,Pendidikan,Teknologi Informasi dan Komunikasi,Pendidikan & Teknologi Informasi dan Komunikasi
Evaluasi Infrastruktur Teknologi Informasi dan Komunikasi di Sekolah: Persepsi Guru dan Siswa tentang Kesiapan dan Kualitas Sumber Daya Teknologi,Pendidikan,Teknologi Informasi dan Komunikasi,Pendidikan & Teknologi Informasi dan Komunikasi
Pengaruh Literasi Digital terhadap Pengetahuan dan Keterampilan Siswa dalam Menggunakan Teknologi Informasi dan Komunikasi: Studi Kasus pada Program Pendidikan Digital Literacy,Pendidikan,Teknologi Informasi dan Komunikasi,Pendidikan & Teknologi Informasi dan Komunikasi
Persepsi Siswa tentang Dampak Teknologi Informasi dan Komunikasi pada Proses Belajar-Mengajar: Tinjauan terhadap Keuntungan dan Tantangan dalam Penggunaan Teknologi dalam Pendidikan,Pendidikan,Teknologi Informasi dan Komunikasi,Pendidikan & Teknologi Informasi dan Komunikasi
Evaluasi Peran Pendidikan dalam Pengembangan Olahraga dan Rekreasi di Sekolah: Persepsi Guru dan Siswa tentang Pentingnya Aktivitas Fisik dalam Pembelajaran,Pendidikan,Olahraga dan Rekreasi,Pendidikan & Olahraga dan Rekreasi
Tinjauan atas Implementasi Program Pendidikan Olahraga dan Rekreasi di Sekolah: Penilaian Efektivitas dan Dampak pada Kesehatan dan Keterampilan Motorik Siswa,Pendidikan,Olahraga dan Rekreasi,Pendidikan & Olahraga dan Rekreasi
Pengaruh Keterlibatan dalam Kegiatan Olahraga dan Rekreasi terhadap Prestasi Akademik dan Kesejahteraan Siswa: Studi Kasus pada Program Pendidikan Jasmani,Pendidikan,Olahraga dan Rekreasi,Pendidikan & Olahraga dan Rekreasi
Evaluasi Kurikulum Pendidikan Olahraga: Persepsi Guru dan Siswa tentang Relevansi dan Efektivitas Pembelajaran Olahraga dalam Konteks Kesehatan dan Rekreasi,Pendidikan,Olahraga dan Rekreasi,Pendidikan & Olahraga dan Rekreasi
"Persepsi Siswa tentang Manfaat Kegiatan Olahraga dan Rekreasi dalam Pendidikan: Tinjauan terhadap Pengaruh Olahraga terhadap Kedisiplinan, Kerjasama, dan Keterampilan Sosial",Pendidikan,Olahraga dan Rekreasi,Pendidikan & Olahraga dan Rekreasi
Evaluasi Peran Pendidikan dalam Pengembangan Apresiasi Seni dan Budaya di Sekolah: Persepsi Guru dan Siswa tentang Pentingnya Pembelajaran Seni dalam Pendidikan,Pendidikan,Seni dan Budaya,Pendidikan & Seni dan Budaya
Tinjauan atas Implementasi Program Pendidikan Seni dan Budaya di Sekolah: Penilaian Efektivitas dan Dampak pada Kreativitas dan Ekspresi Siswa,Pendidikan,Seni dan Budaya,Pendidikan & Seni dan Budaya
Pengaruh Keterlibatan dalam Kegiatan Seni dan Budaya terhadap Kognisi dan Empati Siswa: Studi Kasus pada Program Pendidikan Seni Rupa,Pendidikan,Seni dan Budaya,Pendidikan & Seni dan Budaya
Evaluasi Kurikulum Pendidikan Seni: Persepsi Guru dan Siswa tentang Relevansi dan Efektivitas Pembelajaran Seni dan Budaya dalam Konteks Kreativitas dan Pemahaman Budaya,Pendidikan,Seni dan Budaya,Pendidikan & Seni dan Budaya
